,A1_cellid,A1_snr,PEG_cellid,PEG_snr
176,DRX008b-89-1,0.0748332817189741,ARM024a-36-3,0.07472428642727648
177,DRX007a-89-2,0.07520892955861111,ARM028b-09-1,0.07520339183335555
178,TNC020a-34-1,0.07621734101266864,ARM024a-11-1,0.07619138656358443
179,DRX007a-100-4,0.07688566048109981,ARM024a-15-1,0.07667631419298232
180,DRX008b-57-4,0.07740360298375988,ARM025a-12-1,0.07738587315567473
181,DRX008b-26-2,0.07789930331121211,ARM019a-20-4,0.07784943439733526
182,TNC018a-32-1,0.07875241357720696,ARM019a-39-2,0.07863784148853463
183,TNC014a-29-1,0.08074441853400814,ARM023a-36-2,0.08070761664079258
184,ARM030a-22-3,0.08165357871801739,ARM021b-03-3,0.0816209710513855
185,TNC014a-40-2,0.08262831963951803,ARM021b-43-6,0.08262619654068833
186,TNC016a-51-1,0.08316188533211788,ARM022b-16-1,0.08312518113841523
187,TNC016a-51-1,0.08316188533211788,ARM027a-26-3,0.08332313419161354
188,TNC017a-04-1,0.08390284097962541,ARM019a-32-3,0.08402365057487078
189,TNC017a-04-1,0.08390284097962541,ARM019a-19-4,0.08412051849343409
190,TNC017a-04-1,0.08390284097962541,ARM024a-45-1,0.08415331708784655
191,ARM030a-46-2,0.08469933204324848,ARM022b-42-3,0.08433232903864002
192,ARM030a-46-2,0.08469933204324848,ARM017a-12-1,0.08438656605607531
193,ARM030a-46-2,0.08469933204324848,ARM021b-40-5,0.08466147111342237
194,ARM030a-46-2,0.08469933204324848,ARM027a-16-2,0.08483752149971861
195,ARM030a-46-2,0.08469933204324848,ARM021b-07-5,0.08494414078579507
196,DRX008b-101-3,0.08554817673069293,ARM026b-29-6,0.08565721256547755
197,DRX006b-96-3,0.08715803984976762,ARM022b-20-3,0.08704530001223708
198,TNC018a-24-1,0.08790346438473055,ARM023a-12-1,0.08800433742424671
199,TNC020a-22-1,0.08990495533840565,ARM024a-14-1,0.08996173000386967
200,TNC015a-22-2,0.09014459197991644,ARM017a-02-3,0.0901389789600029
201,ARM029a-04-1,0.09054860971333598,ARM021b-39-8,0.09044768917638936
202,ARM029a-13-4,0.09155388766971942,ARM019a-10-3,0.09130595277835904
203,CRD017c-09-3,0.09423682180954948,ARM021b-28-2,0.09417808370192926
204,CRD017c-09-3,0.09423682180954948,ARM021b-37-3,0.0942600539813593
205,CRD017c-09-3,0.09423682180954948,ARM019a-10-4,0.09453213156394577
206,TNC017a-41-1,0.09502846883843404,ARM017a-52-1,0.09499784626909268
207,DRX006b-12-2,0.09688553631884056,ARM019a-23-1,0.09640775949435323
208,DRX006b-12-2,0.09688553631884056,ARM022b-05-8,0.09652617403756322
209,DRX006b-12-2,0.09688553631884056,ARM017a-61-2,0.0965344346855069
210,TNC012a-07-1,0.09724393357628124,ARM026b-28-4,0.0974568929093322
211,DRX006b-97-2,0.09770381000601946,ARM019a-05-2,0.09771822105790297
212,ARM030a-14-1,0.09842375761368703,ARM017a-41-3,0.09834735870684076
